,business_status,name,place_id,price_level,rating,user_ratings_total
143,OPERATIONAL,Subway,ChIJ8ctlo-Eyw4kRimkaD2LlP-k,1.0,2.8,31.0
144,OPERATIONAL,Scotchtown Craft,ChIJwQOKmdcsw4kRdlob7Ao5ogI,2.0,4.6,213.0
145,OPERATIONAL,Subway,ChIJdxMF3Bktw4kRV7e9fjt7zrk,1.0,3.3,15.0
146,OPERATIONAL,The Bistro – Eat. Drink. Connect.®,ChIJFWCJmQQtw4kRbOnkvGYnPRE,,5.0,2.0
147,OPERATIONAL,Tai Fu,ChIJE1lZQSYtw4kRrx71S00H9FY,,4.3,83.0
148,OPERATIONAL,Marco's Pizza,ChIJP6L9YSYtw4kR856Wdd6bF1k,1.0,4.3,172.0
149,OPERATIONAL,Fuji Japanese Steak House,ChIJdxMF3Bktw4kRnsng9Bx3fCs,2.0,4.3,1148.0
150,OPERATIONAL,Healthy Deli Cafe,ChIJJacMUm8tw4kRKKH-hDi9NEA,,4.9,27.0
151,OPERATIONAL,Casa Mia Latin Kitchen,ChIJYVl7F-Itw4kRORMtSxLxf3M,2.0,4.4,81.0
152,OPERATIONAL,Alfonso's,ChIJi2huM9Asw4kRWW5JxLmU6v8,2.0,4.5,130.0
153,OPERATIONAL,Piccolo Pizza,ChIJ1dNeXgIr3YkRod8Kyu25qW8,1.0,4.2,82.0
154,OPERATIONAL,Great Wall,ChIJ62mMdBYt3YkRi4W4iZJ0Xpw,1.0,4.4,70.0
155,OPERATIONAL,Citrus Restaurant,ChIJR5qu6RUt3YkRpYO4COf9vhI,2.0,4.6,834.0
156,OPERATIONAL,Frank's Pizza & Restaurant,ChIJD6dvExEt3YkRHu7Px5bjKlY,1.0,4.2,113.0
157,OPERATIONAL,Temple Hill Tavern,ChIJV2SfFBEt3YkRUkX1Nx5aZd0,2.0,4.4,333.0
158,OPERATIONAL,Blend Smoothie and Salad Bar- New Windsor,ChIJK8qTNBMt3YkRVy7Ln-RBXf0,2.0,4.3,198.0
159,OPERATIONAL,Domino's Pizza,ChIJ3YTLsBUt3YkRuGJCfRCne6c,1.0,3.5,240.0
160,OPERATIONAL,Subway,ChIJGUXmn3It3YkRv0i0-96l4E0,1.0,3.2,30.0
161,OPERATIONAL,Chapala Grill,ChIJGUXmn3It3YkRa4yx2hGixsI,2.0,4.4,563.0
162,OPERATIONAL,Popeyes Louisiana Kitchen,ChIJDXyCuHIt3YkRhZgVE-P1xfo,1.0,3.6,601.0
163,OPERATIONAL,Capri Restaurant & Pizzeria,ChIJn1QI5wYy3YkRqLTHpWe746Q,2.0,4.5,176.0
164,OPERATIONAL,McDonald's,ChIJE3m49BUt3YkRj-Mgiism3K0,1.0,3.9,561.0
165,OPERATIONAL,Wendy's,ChIJATN5WhQt3YkRefMiLs4wZd0,1.0,3.4,525.0
166,OPERATIONAL,Coach Diner,ChIJLf8jRW0t3YkRPDArkp2YW-M,1.0,4.0,436.0
167,OPERATIONAL,Mama Theresa's Pizzeria & Italian Eatery,ChIJcx0EYRMt3YkRFsccY3WLMV8,2.0,4.4,202.0
168,OPERATIONAL,Mina's Spanish Kitchen,ChIJO4a08nIt3YkRpiPuLUGVz8Y,2.0,3.8,212.0
169,OPERATIONAL,Dunkin',ChIJO3xkwBUt3YkRf8KELfFm7cE,1.0,4.2,244.0
170,OPERATIONAL,Pizza Heaven,ChIJ065skGst3YkRDleHy8migRQ,,4.3,152.0
171,OPERATIONAL,Plaza azteca,ChIJN1In7T8t3YkR8rmENNT4EYA,,4.7,12.0
172,OPERATIONAL,Marcelino's,ChIJadsnAhYt3YkRBgq8RU1oSgg,2.0,4.4,117.0
173,OPERATIONAL,Starbucks,ChIJmcd7Dc0t3YkR9anm1PEt5SQ,,4.2,10.0
174,OPERATIONAL,Great Wall,ChIJ62mMdBYt3YkRi4W4iZJ0Xpw,1.0,4.4,70.0
175,OPERATIONAL,Citrus Restaurant,ChIJR5qu6RUt3YkRpYO4COf9vhI,2.0,4.6,834.0
176,OPERATIONAL,Subway,ChIJGUXmn3It3YkRv0i0-96l4E0,1.0,3.2,30.0
177,OPERATIONAL,Blend Smoothie and Salad Bar- New Windsor,ChIJK8qTNBMt3YkRVy7Ln-RBXf0,2.0,4.3,198.0
178,OPERATIONAL,Domino's Pizza,ChIJ3YTLsBUt3YkRuGJCfRCne6c,1.0,3.5,240.0
179,OPERATIONAL,Chapala Grill,ChIJGUXmn3It3YkRa4yx2hGixsI,2.0,4.4,563.0
180,OPERATIONAL,Popeyes Louisiana Kitchen,ChIJDXyCuHIt3YkRhZgVE-P1xfo,1.0,3.6,601.0
181,OPERATIONAL,Capri Restaurant & Pizzeria,ChIJn1QI5wYy3YkRqLTHpWe746Q,2.0,4.5,176.0
182,OPERATIONAL,Coach Diner,ChIJLf8jRW0t3YkRPDArkp2YW-M,1.0,4.0,436.0
183,OPERATIONAL,Mina's Spanish Kitchen,ChIJO4a08nIt3YkRpiPuLUGVz8Y,2.0,3.8,212.0
184,OPERATIONAL,Temple Hill Tavern,ChIJV2SfFBEt3YkRUkX1Nx5aZd0,2.0,4.4,333.0
185,OPERATIONAL,Tosco's,ChIJzcEbx3st3YkRuBfcNlEO2Uk,1.0,4.3,120.0
186,OPERATIONAL,Pizza Heaven,ChIJ065skGst3YkRDleHy8migRQ,,4.3,152.0
187,OPERATIONAL,Mama Theresa's Pizzeria & Italian Eatery,ChIJcx0EYRMt3YkRFsccY3WLMV8,2.0,4.4,202.0
188,OPERATIONAL,Wendy's,ChIJATN5WhQt3YkRefMiLs4wZd0,1.0,3.4,525.0
189,OPERATIONAL,La casa de la Empanada Columbiana,ChIJBSLMVPkt3YkRb0vowh5mIBE,,4.6,31.0
190,OPERATIONAL,Sal's Pizza,ChIJSywN13st3YkRmczEmvxs39Q,,3.7,3.0
191,OPERATIONAL,Mrrn Inc,ChIJGUXmn3It3YkRcVzCT07NDY0,,5.0,1.0
192,OPERATIONAL,The New Windsor Coach,ChIJCzz5RG0t3YkRuIkEB2rrmKY,,4.0,1.0
193,OPERATIONAL,Kennedy fried Chicken,ChIJBx2ZBXot3YkR0dk0nUAKW6M,,3.9,20.0
194,OPERATIONAL,Painter’s Tavern,ChIJA9sZSbwy3YkRle12JuAG5sk,2.0,4.2,368.0
195,OPERATIONAL,Pepettini,ChIJgfB3B70y3YkR1QHwl6hsaRQ,2.0,4.6,151.0
